IMDB_ID;IMDB_RATING;IMDB_VOTES;TITLE
tt0076759;8.6;1364082;Star Wars: Episode IV - A New Hope
tt0080684;8.7;1292137;Star Wars: Episode V - The Empire Strikes Back
tt0086190;8.3;1054764;Star Wars: Episode VI - Return of the Jedi
tt2488496;7.8;932359;Star Wars: Episode VII - The Force Awakens
tt0120915;6.5;807653;Star Wars: Episode I - The Phantom Menace
tt0121766;7.6;793892;Star Wars: Episode III - Revenge of the Sith
tt0121765;6.6;713488;Star Wars: Episode II - Attack of the Clones
tt3748528;7.8;640898;Rogue One: A Star Wars Story
tt2527336;6.9;632834;Star Wars: Episode VIII - The Last Jedi
tt2527338;6.5;452047;Star Wars: Episode IX - The Rise of Skywalker
